tconst	primaryTitle	originalTitle	startYear	averageRating	numVotes
tt0002130	Dante's Inferno	L'inferno	1911	7	3721
tt0002423	Passion	Madame DuBarry	1919	6.6	1055
tt0002844	Fantômas: In the Shadow of the Guillotine	Fantômas I: À l'ombre de la guillotine	1913	6.9	2605
tt0003014	Ingeborg Holm	Ingeborg Holm	1913	7	1505
tt0003037	Fantomas: The Man in Black	Fantômas II: Juve contre Fantômas	1913	6.9	1767
tt0003165	Fantômas: The Dead Man Who Killed	Le mort qui tue	1913	6.9	1406
tt0003419	The Student of Prague	Der Student von Prag	1913	6.4	2529
tt0003643	The Avenging Conscience: or 'Thou Shalt Not Kill'	The Avenging Conscience: or 'Thou Shalt Not Kill'	1914	6.4	1501
tt0003740	Cabiria	Cabiria	1914	7.1	4111
tt0003772	Cinderella	Cinderella	1914	6	1109
tt0003930	Fantomas: The Mysterious Finger Print	Fantômas contre Fantômas	1914	6.8	1486
tt0003952	Fantômas: The False Magistrate	Le faux magistrat	1914	6.7	1255
tt0004026	The Golem	Der Golem	1914	6.7	1278
tt0004181	Judith of Bethulia	Judith of Bethulia	1914	6.2	1492
tt0004465	The Perils of Pauline	The Perils of Pauline	1914	6.3	1101
tt0004635	The Squaw Man	The Squaw Man	1914	5.6	1077
tt0004707	Tillie's Punctured Romance	Tillie's Punctured Romance	1914	6.2	3792
tt0004972	The Birth of a Nation	The Birth of a Nation	1915	6.1	27136
tt0005060	Carmen	Carmen	1915	6.3	1128
tt0005078	The Cheat	The Cheat	1915	6.5	2916
tt0005339	A Fool There Was	A Fool There Was	1915	5.7	1094
tt0005916	After Death	Posle smerti	1915	6.8	1070
tt0005960	The Regeneration	The Regeneration	1915	6.8	1485
tt0006206	Les Vampires	Les vampires	1915	7.3	5622
tt0006333	"20,000 Leagues Under the Sea"	"20,000 Leagues Under the Sea"	1916	6.1	2096
tt0006780	Hell's Hinges	Hell's Hinges	1916	6.7	1121
tt0006864	Intolerance	Intolerance: Love's Struggle Throughout the Ages	1916	7.7	17258
tt0006886	Judex	Judex	1916	7.2	1178
tt0008443	The Poor Little Rich Girl	The Poor Little Rich Girl	1917	6.7	1587
tt0008663	A Man There Was	Terje Vigen	1917	7.3	2428
tt0008879	The Outlaw and His Wife	Berg-Ejvind och hans hustru	1918	7.2	2187
tt0008891	The Blue Bird	The Blue Bird	1918	6.9	1063
tt0009150	Hearts of the World	Hearts of the World	1918	6.5	1142
tt0009369	Mickey	Mickey	1918	6.1	1195
tt0009652	Stella Maris	Stella Maris	1918	6.9	1630
tt0009878	Different from the Others	Anders als die Andern	1919	7	1575
