tconst     ,orignal tittle                                            ,startYear ,averageRating ,numVotes
tt10534500 ,#Home                                                     ,     2021 ,          8.8 ,16K
tt23423222 ,#Kaadal Kahaani                                           ,     2022 ,          7.6 ,2.1K
tt33291011 ,#Lifestories                                              ,     2024 ,          8.5 ,2K
tt7518786  ,83                                                        ,     2021 ,          7.5 ,42K
tt0473567  ,...Yahaan                                                 ,     2005 ,          7.5 ,1.2K
tt8458736  ,100                                                       ,     2019 ,          6.5 ,1.5K
tt33396241 ,100 Crores                                                ,     2024 ,          6.2 ,4K
tt0101244  ,100 Days                                                  ,     1991 ,          6.3 ,1.2K
tt3995348  ,100 Days of Love                                          ,     2015 ,          6.6 ,2.7K
tt1869226  ,100% Love                                                 ,     2011 ,          7   ,3.3K
tt6580564  ,102 Not Out                                               ,     2018 ,          7.4 ,7.7K
tt18974018 ,1134                                                      ,     2024 ,          6.8 ,1.3K
tt8660422  ,118                                                       ,     2019 ,          6.4 ,1.1K
tt19638504 ,120db Dhwani                                              ,     2022 ,          8.4 ,1.1K
tt23849204 ,12th Fail                                                 ,     2023 ,          8.8 ,144K
tt14986012 ,12th Man                                                  ,     2022 ,          6.8 ,4.8K
tt1385824  ,13B: Fear Has a New Address                               ,     2009 ,          7.4 ,9.4K
tt32740678 ,14                                                        ,     2024 ,          7.5 ,1.3K
tt12887178 ,14 Phere                                                  ,     2021 ,          6.3 ,5.4K
tt0449159  ,15 Park Avenue                                            ,     2005 ,          7.1 ,1.1K
tt0313844  ,16/12/25                                                  ,     2002 ,          6.9 ,1.4K
tt11915042 ,18 Pages                                                  ,     2022 ,          7.1 ,3.1K
tt26733205 ,18                                                        ,     2023 ,          6.3 ,1.2K
tt1301698  ,1920                                                      ,     2008 ,          6.4 ,4.3K
tt18233116 ,1921: Puzha Muthal Puzha Vare                             ,     2022 ,          7.1 ,2.4K
tt0109010  ,1942: A Love Story                                        ,     1994 ,          7.2 ,3.8K
tt0983990  ,1971                                                      ,     2007 ,          8.2 ,2.8K
tt33164896 ,1980 Lo Radhekrishna                                      ,     2024 ,          8.5 ,1.2K
tt3506970  ,1983                                                      ,     2014 ,          7.7 ,3.1K
tt20223526 ,1996 Dharmapuri                                           ,     2022 ,          6.7 ,2K
tt15417090 ,1997                                                      ,     2021 ,          8.7 ,2.2K
tt2375559  ,1: Nenokkadine                                            ,     2014 ,          8   ,47K
tt10452466 ,2 Hours Love                                              ,     2019 ,          6.4 ,1.2K
