IMDb ID,Primary Title,Original Title,Year,IMDb Rating,IMDb Votes,Letterboxd Avg Rating,Letterboxd Rating Count,Letterboxd URL
tt33291011,,,2024,8.5,2K,0,0,https://letterboxd.com/tmdb/1341441/
tt33396241,,,2024,6.2,4K,0,0,https://letterboxd.com/tmdb/1364617/
tt3995348,,,2015,6.6,2.7K,3.14,1475,https://letterboxd.com/tmdb/331330/
tt0101244,,,1991,6.3,1.2K,0,0,https://letterboxd.com/tmdb/55627/
tt7518786,,,2021,7.5,42K,3.42,12230,https://letterboxd.com/tmdb/601337/
tt8458736,,,2019,6.5,1.5K,3.05,951,https://letterboxd.com/tmdb/534963/
tt0473567,,,2005,7.5,1.2K,0,0,https://letterboxd.com/tmdb/216696/
tt1869226,,,2011,7,3.3K,3.26,1787,https://letterboxd.com/tmdb/63378/
tt6580564,,,2018,7.4,7.7K,3.21,2042,https://letterboxd.com/tmdb/460713/
tt18974018,,,2024,6.8,1.3K,0,0,https://letterboxd.com/tmdb/1169804/
tt23849204,,,2023,8.8,144K,4.11,43061,https://letterboxd.com/tmdb/1163258/
tt8660422,,,2019,6.4,1.1K,3.08,490,https://letterboxd.com/tmdb/585564/
tt12887178,,,2021,6.3,5.4K,2.97,450,https://letterboxd.com/tmdb/732886/
tt10534500,,,2021,8.8,16K,3.77,7247,https://letterboxd.com/tmdb/859987/
tt1385824,,,2009,7.4,9.4K,3.52,6366,https://letterboxd.com/tmdb/19950/
tt14986012,,,2022,6.8,4.8K,2.92,3497,https://letterboxd.com/tmdb/847726/
tt11915042,,,2022,7.1,3.1K,2.95,1589,https://letterboxd.com/tmdb/894758/
tt0449159,,,2005,7.1,1.1K,3.55,266,https://letterboxd.com/tmdb/23130/
tt18233116,,,2022,7.1,2.4K,0,0,https://letterboxd.com/tmdb/1098424/
tt1301698,,,2008,6.4,4.3K,3.04,1529,https://letterboxd.com/tmdb/19951/
tt26733205,,,2023,6.3,1.2K,3.01,2376,https://letterboxd.com/tmdb/1076497/
tt0313844,,,2002,6.9,1.4K,0,0,https://letterboxd.com/tmdb/46369/
tt3506970,,,2014,7.7,3.1K,3.57,2154,https://letterboxd.com/tmdb/253535/
tt20223526,,,2022,6.7,2K,0,0,https://letterboxd.com/tmdb/1057541/
tt0983990,,,2007,8.2,2.8K,3.55,352,https://letterboxd.com/tmdb/199408/
tt0109010,,,1994,7.2,3.8K,3.38,547,https://letterboxd.com/tmdb/33124/
tt2375559,,,2014,8,47K,3.46,4420,https://letterboxd.com/tmdb/249772/
tt10452466,,,2019,6.4,1.2K,0,0,https://letterboxd.com/tmdb/631934/
tt2372678,,,2014,6.9,28K,3.06,9558,https://letterboxd.com/tmdb/259720/
tt2075108,,,2011,8.1,6.4K,3.57,1712,https://letterboxd.com/tmdb/90843/
tt11912390,,,2020,6.7,1.4K,0,0,https://letterboxd.com/tmdb/737900/
tt5080556,,,2018,6,29K,2.36,10145,https://letterboxd.com/tmdb/373449/
tt9006564,,,2023,8.3,14K,3.65,10766,https://letterboxd.com/tmdb/866440/
tt2123129,,,2012,7.4,6.8K,3.46,6301,https://letterboxd.com/tmdb/79660/
tt4981966,,,2016,7.8,25K,3.48,7672,https://letterboxd.com/tmdb/368006/
tt15145772,,,2021,7.5,1.9K,0,0,https://letterboxd.com/tmdb/858288/
tt2363047,,,2012,7.4,2.6K,3.4,1562,https://letterboxd.com/tmdb/129088/
tt1187043,,,2009,8.4,454K,4.1,128041,https://letterboxd.com/tmdb/20453/
tt4684258,,,2015,6.9,1K,3.23,737,https://letterboxd.com/tmdb/334383/
